"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","matches unknown text between two elements","Assertions","2026-03-19","passed","2026-03-19","","Explicit Assertions","",""
"","1578","retries the should callback until assertions pass","Assertions","2026-03-19","passed","2026-03-19","","Explicit Assertions","",""
"","260",".rightclick() - right click on a DOM element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","82",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","21","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-03-19","passed","2026-03-19","","","",""
"","426","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-03-19","passed","2026-03-19","","","",""
"","83",".siblings() - get all sibling DOM elements","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","174","Cypress.$ - call a jQuery method","Utilities","2026-03-19","passed","2026-03-19","","","",""
"","76","Control what is printed to the Command Log","Cypress APIs","2026-03-19","passed","2026-03-19","","Cypress.log","",""
"","73","Get current version of Cypress being run","Cypress APIs","2026-03-19","passed","2026-03-19","","Cypress.version","",""
"","242","cy.focused() - get the DOM element that has focus","Misc","2026-03-19","passed","2026-03-19","","","",""
"","166","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-03-19","passed","2026-03-19","","","",""
"","99","pass your own callback function to should()","Assertions","2026-03-19","passed","2026-03-19","","Explicit Assertions","",""
"","82","cy.document() - get the document object","Window","2026-03-19","passed","2026-03-19","","","",""
"","325","cy.request() - make an XHR request","Network Requests","2026-03-19","passed","2026-03-19","","","",""
"","692","cy.screenshot() - take a screenshot","Misc","2026-03-19","passed","2026-03-19","","Cypress.Screenshot","",""
"","119",".debug() - enable or disable debugging","Cypress APIs","2026-03-19","passed","2026-03-19","","Cypress.Cookies","",""
"","176","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-03-19","passed","2026-03-19","","","",""
"","101",".its() - get properties on the current subject","Connectors","2026-03-19","passed","2026-03-19","","","",""
